nct_id,term,outcome,model_type,0,1,2,3,4,5,6,7,8,9,10,11
NCT01335477,como,eq5d_index,sp,0.28 (0.035),0.263 (0.035),0.253 (0.035),0.253 (0.034),0.256 (0.034),0.256 (0.034),0.25 (0.034),0.241 (0.034),0.23 (0.036),0.218 (0.044),,
NCT01335477,como,eq5d_index,sq,0.273 (0.035),0.265 (0.035),0.259 (0.035),0.254 (0.035),0.25 (0.034),0.248 (0.034),0.246 (0.033),0.246 (0.034),0.248 (0.036),0.25 (0.04),,
NCT01335477,inter,eq5d_index,sp,0.27 (0.036),0.269 (0.035),0.268 (0.034),0.266 (0.034),0.265 (0.034),0.264 (0.034),0.263 (0.034),0.262 (0.034),0.261 (0.035),0.259 (0.035),,
NCT01335477,inter,eq5d_index,sq,0.255 (0.037),0.26 (0.035),0.262 (0.035),0.263 (0.035),0.261 (0.034),0.257 (0.034),0.251 (0.034),0.244 (0.036),0.234 (0.04),0.222 (0.048),,
NCT01358578,como,eq5d_index,sp,0.648 (0.048),0.638 (0.047),0.627 (0.048),0.616 (0.049),0.606 (0.05),0.595 (0.053),,,,,,
NCT01358578,como,eq5d_index,sq,0.65 (0.048),0.637 (0.048),0.626 (0.048),0.619 (0.049),0.614 (0.054),0.613 (0.068),,,,,,
NCT01358578,inter,eq5d_index,sp,0.662 (0.046),0.651 (0.046),0.64 (0.046),0.628 (0.048),0.617 (0.05),0.606 (0.052),,,,,,
NCT01358578,inter,eq5d_index,sq,0.663 (0.047),0.651 (0.046),0.639 (0.047),0.63 (0.048),0.622 (0.053),0.616 (0.066),,,,,,
NCT01365455,como,eq5d_index,sp,0.6 (0.038),0.593 (0.037),0.586 (0.036),0.58 (0.036),0.573 (0.036),0.567 (0.037),0.56 (0.037),,,,,
NCT01365455,como,eq5d_index,sq,0.608 (0.04),0.598 (0.038),0.59 (0.037),0.585 (0.037),0.582 (0.039),0.582 (0.044),0.584 (0.054),,,,,
NCT01365455,inter,eq5d_index,sp,0.638 (0.036),0.629 (0.036),0.619 (0.035),0.61 (0.035),0.601 (0.035),0.592 (0.035),0.582 (0.036),,,,,
NCT01365455,inter,eq5d_index,sq,0.651 (0.039),0.639 (0.036),0.629 (0.036),0.621 (0.036),0.614 (0.037),0.609 (0.042),0.605 (0.052),,,,,
NCT01624259,como,eq5d_index,sp,0.369 (0.036),0.361 (0.035),0.351 (0.035),0.341 (0.034),0.329 (0.034),0.316 (0.034),0.302 (0.035),0.288 (0.038),,,,
NCT01624259,como,eq5d_index,sq,0.367 (0.036),0.363 (0.035),0.355 (0.035),0.343 (0.034),0.327 (0.034),0.308 (0.035),0.284 (0.038),0.257 (0.044),,,,
NCT01624259,inter,eq5d_index,sp,0.374 (0.036),0.362 (0.035),0.35 (0.035),0.338 (0.034),0.326 (0.034),0.315 (0.035),0.303 (0.035),0.291 (0.036),,,,
NCT01624259,inter,eq5d_index,sq,0.375 (0.036),0.365 (0.035),0.353 (0.035),0.341 (0.034),0.327 (0.034),0.313 (0.037),0.297 (0.045),0.28 (0.058),,,,
NCT01646177,como,eq5d_index,sp,,,0.515 (0.029),0.501 (0.027),0.486 (0.026),0.472 (0.026),0.457 (0.027),0.443 (0.029),,0.414 (0.035),,
NCT01646177,como,eq5d_index,sq,,,0.515 (0.029),0.5 (0.028),0.486 (0.027),0.472 (0.027),0.458 (0.028),0.444 (0.035),,0.416 (0.071),,
NCT01646177,inter,eq5d_index,sp,,,0.553 (0.028),0.533 (0.027),0.514 (0.026),0.494 (0.026),0.475 (0.028),0.456 (0.031),,0.417 (0.039),,
NCT01646177,inter,eq5d_index,sq,,,0.552 (0.029),0.533 (0.027),0.514 (0.027),0.495 (0.027),0.475 (0.029),0.455 (0.037),,0.413 (0.075),,
NCT01719003,como,eq5d_index,sp,0.504 (0.052),0.499 (0.051),0.493 (0.051),0.487 (0.05),0.481 (0.05),0.475 (0.05),,,,,,
NCT01719003,como,eq5d_index,sq,0.503 (0.053),0.494 (0.052),0.488 (0.052),0.484 (0.051),0.482 (0.05),0.483 (0.053),,,,,,
NCT01719003,inter,eq5d_index,sp,0.496 (0.054),0.495 (0.052),0.494 (0.051),0.493 (0.052),0.493 (0.054),0.492 (0.057),,,,,,
NCT01719003,inter,eq5d_index,sq,0.488 (0.055),0.494 (0.053),0.492 (0.052),0.484 (0.054),0.469 (0.072),0.447 (0.114),,,,,,
NCT00106535,como,sf36_mcs,sp,17.1 (1.9),16.9 (1.7),16.7 (1.7),16.3 (1.7),15.6 (1.7),14.7 (1.8),13.7 (2),12.9 (2.4),12 (3),11 (3.7),,
NCT00106535,como,sf36_mcs,sq,16.7 (1.9),16.9 (1.7),16.8 (1.7),16.4 (1.7),15.7 (1.7),14.7 (1.8),13.5 (2.1),11.9 (2.7),10.1 (3.5),8 (4.7),,
NCT00106535,inter,sf36_mcs,sp,17 (2),17.2 (1.8),17.1 (1.8),16.6 (1.8),15.5 (1.9),14.1 (2.1),12.4 (2.6),10.8 (3.4),9.2 (4.5),7.8 (6),,
NCT00106535,inter,sf36_mcs,sq,16.6 (2.1),17.2 (1.8),17.3 (1.8),16.7 (1.8),15.6 (1.9),14 (2.1),11.7 (2.7),8.9 (3.8),5.5 (5.3),1.5 (7.3),,
NCT00125918,como,sf36_mcs,sp,14.3 (4.5),14 (4.3),13.7 (4.1),13.4 (4),13 (4),12.7 (4),12.4 (4.1),12 (4.3),11.7 (4.5),11.4 (4.7),,
NCT00125918,como,sf36_mcs,sq,13.5 (4.8),13.8 (4.3),13.8 (4.1),13.6 (4.1),13.3 (4),12.7 (4),12 (4.2),11 (4.7),9.9 (5.8),8.5 (7.4),,
NCT00125918,inter,sf36_mcs,sp,18.1 (4.8),17.2 (4.4),16.3 (4.2),15.4 (4),14.6 (4.1),13.7 (4.2),12.8 (4.5),11.9 (4.8),11 (5.3),10.1 (5.8),,
NCT00125918,inter,sf36_mcs,sq,16.8 (5.1),17.2 (4.5),17.1 (4.4),16.4 (4.3),15.3 (4.2),13.6 (4.2),11.5 (4.8),8.9 (6.4),5.7 (9.1),2.1 (12.6),,
NCT00410384,como,sf36_mcs,sp,8.8 (0.9),8.4 (0.8),8.1 (0.8),7.9 (0.8),7.7 (0.7),7.7 (0.7),7.7 (0.7),7.8 (0.7),7.9 (0.8),7.9 (0.8),8 (0.9),8 (1)
NCT00410384,como,sf36_mcs,sq,8.9 (0.9),8.5 (0.8),8.2 (0.8),7.9 (0.8),7.8 (0.7),7.7 (0.7),7.7 (0.7),7.8 (0.7),8 (0.8),8.2 (0.8),8.6 (0.9),9 (1)
NCT00410384,inter,sf36_mcs,sp,8.8 (0.9),8.5 (0.8),8.2 (0.8),7.9 (0.8),7.7 (0.8),7.7 (0.7),7.7 (0.7),7.7 (0.8),7.9 (0.8),8 (0.9),8.2 (1.1),8.4 (1.3)
NCT00410384,inter,sf36_mcs,sq,9.2 (0.9),8.6 (0.8),8.2 (0.8),7.9 (0.8),7.7 (0.8),7.7 (0.7),7.7 (0.7),7.9 (0.8),8.1 (0.8),8.5 (0.9),9 (1.1),9.6 (1.4)
NCT00424476,como,sf36_mcs,sp,10.2 (0.8),10 (0.8),9.9 (0.8),9.7 (0.8),9.5 (0.8),9.2 (0.8),8.9 (0.8),8.6 (0.8),8.3 (0.9),,,
NCT00424476,como,sf36_mcs,sq,10.1 (0.8),10 (0.8),9.9 (0.8),9.8 (0.8),9.5 (0.8),9.2 (0.8),8.9 (0.8),8.4 (0.8),8 (0.9),,,
NCT00424476,inter,sf36_mcs,sp,10.3 (0.8),10 (0.8),9.8 (0.8),9.7 (0.8),9.6 (0.8),9.2 (0.8),8.3 (0.8),6.8 (1.1),5.1 (1.6),,,
NCT00424476,inter,sf36_mcs,sq,10.1 (0.8),10.1 (0.8),10 (0.8),9.8 (0.8),9.5 (0.8),9.1 (0.8),8.5 (0.8),7.9 (1),7.1 (1.2),,,
NCT00472199,como,sf36_mcs,sp,21.2 (2.4),21.1 (2.2),21 (2.2),20.8 (2.2),20.7 (2.2),20.6 (2.3),20.5 (2.4),20.4 (2.6),20.3 (2.8),20.2 (3),,
NCT00472199,como,sf36_mcs,sq,20.6 (2.5),21 (2.3),21.1 (2.2),21.1 (2.2),20.8 (2.2),20.4 (2.3),19.7 (2.6),18.8 (3.2),17.7 (4.2),16.4 (5.4),,
NCT00472199,inter,sf36_mcs,sp,21.4 (2.4),21.5 (2.3),21.6 (2.2),21.7 (2.2),21.8 (2.3),21.9 (2.5),22 (2.7),22.1 (2.9),22.2 (3.2),22.3 (3.5),,
NCT00472199,inter,sf36_mcs,sq,20.3 (2.6),21.3 (2.3),21.9 (2.3),22.2 (2.3),22.2 (2.4),21.8 (2.5),21.1 (2.8),20.1 (3.4),18.8 (4.4),17.2 (5.8),,
NCT00783718,como,sf36_mcs,sp,15.1 (1.5),15.5 (1.4),15.5 (1.4),15.4 (1.4),15.2 (1.5),15.1 (1.8),15.1 (2.3),,,,,
NCT00783718,como,sf36_mcs,sq,15.1 (1.5),15.5 (1.4),15.6 (1.4),15.5 (1.4),15.1 (1.5),14.5 (2),13.6 (2.7),,,,,
NCT00783718,inter,sf36_mcs,sp,16 (1.5),15.9 (1.4),15.7 (1.4),15.5 (1.4),15.4 (1.5),15.2 (1.6),15 (1.7),,,,,
NCT00783718,inter,sf36_mcs,sq,15.9 (1.5),15.9 (1.4),15.8 (1.4),15.5 (1.4),15 (1.6),14.3 (2.1),13.4 (3),,,,,
NCT01007435,como,sf36_mcs,sp,33.8 (1.8),34.4 (1.7),34.6 (1.7),34.5 (1.8),34.1 (1.9),33.5 (2.2),32.7 (3),31.9 (4),,,,
NCT01007435,como,sf36_mcs,sq,33.5 (1.8),34.6 (1.7),35 (1.7),34.8 (1.7),33.9 (1.9),32.2 (2.4),29.9 (3.6),27 (5.3),,,,
NCT01007435,inter,sf36_mcs,sp,33.4 (1.8),35.3 (1.8),36.4 (1.9),36.1 (2),34.6 (2.3),32.4 (2.9),29.9 (4.2),27.4 (6.3),,,,
NCT01007435,inter,sf36_mcs,sq,33.2 (1.8),35.8 (1.8),36.9 (1.9),36.5 (1.9),34.6 (2.2),31.2 (2.9),26.4 (4.4),20.1 (6.6),,,,
NCT01119859,como,sf36_mcs,sp,31 (3.1),30.3 (2.8),29.6 (2.6),28.9 (2.6),28.2 (2.6),27.6 (2.7),26.9 (2.9),26.2 (3.1),,,,
NCT01119859,como,sf36_mcs,sq,32.2 (3.4),30.6 (2.8),29.4 (2.7),28.7 (2.6),28.3 (2.6),28.3 (2.8),28.6 (3.5),29.4 (4.9),,,,
NCT01119859,inter,sf36_mcs,sp,32.5 (3.3),32 (2.9),31.4 (2.7),30.8 (2.7),30.2 (2.8),29.6 (3.1),29 (3.5),28.4 (3.9),,,,
NCT01119859,inter,sf36_mcs,sq,33.1 (3.6),32.3 (3),31.6 (2.8),31 (2.8),30.4 (2.8),30 (3.3),29.8 (4.8),29.6 (7.1),,,,
NCT01209702,como,sf36_mcs,sp,,23.9 (4.4),23.4 (4.1),23 (4),22.5 (4),22 (4.2),,21.1 (5.1),,,,
NCT01209702,como,sf36_mcs,sq,,23.3 (4.4),24 (4.1),23.9 (4.1),23 (4),21.5 (4.3),,16.1 (7),,,,
NCT01209702,inter,sf36_mcs,sp,,22.2 (4.5),22.6 (4.2),22.9 (4.2),23.3 (4.5),23.6 (5.2),,24.3 (7),,,,
NCT01209702,inter,sf36_mcs,sq,,22.2 (4.7),22.7 (4.3),23 (4.3),23.3 (4.7),23.4 (7.9),,23.2 (22.9),,,,
NCT01224171,como,sf36_mcs,sp,20.1 (1.8),19.7 (1.7),19.2 (1.7),18.8 (1.7),18.4 (1.7),17.9 (1.8),17.5 (1.8),17.1 (2),,,,
NCT01224171,como,sf36_mcs,sq,20.5 (1.9),19.6 (1.7),19.1 (1.7),18.8 (1.7),18.8 (1.7),19 (2),19.6 (2.6),20.4 (3.6),,,,
NCT01224171,inter,sf36_mcs,sp,20.8 (1.9),20.1 (1.8),19.3 (1.7),18.5 (1.8),17.8 (1.9),17 (2),16.3 (2.2),15.5 (2.4),,,,
NCT01224171,inter,sf36_mcs,sq,21 (1.9),20 (1.8),19.1 (1.7),18.5 (1.8),18 (1.9),17.7 (2.3),17.6 (3.2),17.7 (4.5),,,,
NCT01232569,como,sf36_mcs,sp,30.6 (1.9),29.5 (1.7),28.5 (1.7),27.8 (1.7),27.5 (1.7),27.5 (2),27.9 (2.4),28.5 (3.2),,,,
NCT01232569,como,sf36_mcs,sq,31.2 (1.9),29.5 (1.7),28.3 (1.7),27.7 (1.7),27.6 (1.7),28.1 (2),29.2 (2.7),30.8 (3.8),,,,
NCT01232569,inter,sf36_mcs,sp,31 (2),29.7 (1.7),28.7 (1.7),28.1 (1.7),28 (1.8),28.4 (2.1),29 (2.7),29.9 (3.7),,,,
NCT01232569,inter,sf36_mcs,sq,31.6 (2),29.7 (1.7),28.4 (1.7),27.9 (1.7),28.1 (1.8),29.1 (2.1),30.7 (2.9),33.1 (4.3),,,,
NCT01646177,como,sf36_mcs,sp,,,36.4 (2),35.8 (2),35.1 (1.9),33.7 (1.9),31.8 (2.1),29.5 (2.5),,24.6 (4.2),,
NCT01646177,como,sf36_mcs,sq,,,36.2 (2),36.1 (1.9),35.3 (1.9),33.8 (1.9),31.7 (2),28.8 (2.5),,21 (4.9),,
NCT01646177,inter,sf36_mcs,sp,,,39 (2),38.1 (1.9),37 (1.9),35.7 (1.9),34.1 (2.1),32.4 (2.5),,28.6 (3.8),,
NCT01646177,inter,sf36_mcs,sq,,,38.8 (2),38.4 (1.9),37.5 (1.9),36 (1.9),34 (2.1),31.4 (2.6),,24.5 (5.1),,
NCT00106535,como,sf36_pcs,sp,16 (1.8),13.5 (1.6),13.8 (1.6),14.8 (1.6),12.8 (1.7),9 (1.9),7.8 (2.2),9.4 (3.2),8.6 (4.1),3.8 (7),,
NCT00106535,como,sf36_pcs,sq,15.1 (1.8),14.5 (1.6),13.8 (1.5),13 (1.5),11.9 (1.5),10.6 (1.6),9.2 (1.9),7.6 (2.4),5.8 (3.2),3.8 (4.3),,
NCT00106535,inter,sf36_pcs,sp,15.7 (1.8),15 (1.6),14.3 (1.6),13.5 (1.6),12.5 (1.7),11.4 (1.9),10.3 (2.2),9.2 (2.6),8.1 (3.2),7 (4),,
NCT00106535,inter,sf36_pcs,sq,15.2 (1.9),15 (1.6),14.5 (1.6),13.7 (1.6),12.6 (1.7),11.1 (1.9),9.3 (2.5),7.2 (3.5),4.8 (4.9),2 (6.7),,
NCT00125918,como,sf36_pcs,sp,8.3 (3.6),8.7 (3.3),9.1 (3.1),9.4 (3),9.6 (2.9),9.8 (2.9),9.9 (2.9),9.9 (3.1),10 (3.4),10.1 (3.8),,
NCT00125918,como,sf36_pcs,sq,7.1 (3.8),8.4 (3.3),9.2 (3.1),9.8 (3),10 (2.9),9.8 (2.9),9.3 (3),8.5 (3.5),7.3 (4.4),5.8 (5.7),,
NCT00125918,inter,sf36_pcs,sp,9.1 (4.1),11 (3.5),12.4 (3.2),13.1 (3),12.8 (2.9),11.8 (3),10.4 (3.5),8.8 (4.6),7.3 (6.5),5.8 (9.2),,
NCT00125918,inter,sf36_pcs,sq,8 (4.2),10.8 (3.5),12.6 (3.2),13.4 (3),13.1 (2.9),11.7 (3),9.4 (3.6),6 (5.1),1.5 (7.3),-4 (10.1),,
NCT00410384,como,sf36_pcs,sp,9.7 (1),9.5 (1),9.3 (1),9.1 (0.9),8.9 (0.9),8.7 (0.9),8.5 (0.9),8.3 (0.9),8.1 (0.9),7.9 (0.9),7.7 (0.9),7.5 (0.9)
NCT00410384,como,sf36_pcs,sq,9.9 (1),9.6 (1),9.3 (1),9.1 (0.9),8.8 (0.9),8.6 (0.9),8.5 (0.9),8.4 (0.9),8.3 (0.9),8.2 (0.9),8.1 (1),8.1 (1.2)
NCT00410384,inter,sf36_pcs,sp,9.9 (1),9.6 (1),9.4 (1),9.2 (0.9),9 (0.9),8.7 (0.9),8.5 (0.9),8.3 (0.9),8.1 (0.9),7.9 (0.9),7.6 (1),7.4 (1)
NCT00410384,inter,sf36_pcs,sq,10.1 (1.1),9.7 (1),9.4 (1),9.1 (0.9),8.9 (0.9),8.7 (0.9),8.5 (0.9),8.4 (0.9),8.3 (1),8.3 (1.1),8.2 (1.3),8.3 (1.6)
NCT00424476,como,sf36_pcs,sp,10.2 (1),10 (1),9.9 (1),9.7 (1),9.5 (1),9.3 (1),9.2 (1),9 (1),8.8 (1),,,
NCT00424476,como,sf36_pcs,sq,10.1 (1),10 (1),9.9 (1),9.7 (1),9.5 (1),9.3 (1),9 (1),8.7 (1.1),8.4 (1.2),,,
NCT00424476,inter,sf36_pcs,sp,10.4 (1),10.2 (1),10 (1),9.8 (1),9.6 (1),9.5 (1),9.3 (1),9.1 (1),8.9 (1.1),,,
NCT00424476,inter,sf36_pcs,sq,10.1 (1.1),10.1 (1),10.1 (1),9.9 (1),9.7 (1),9.3 (1),8.9 (1.1),8.4 (1.2),7.9 (1.5),,,
NCT00472199,como,sf36_pcs,sp,19.1 (2.2),18.6 (2.1),18.2 (2),17.7 (2),17.2 (2),16.7 (2),16.2 (2.1),15.7 (2.2),15.2 (2.4),14.7 (2.5),,
NCT00472199,como,sf36_pcs,sq,18.9 (2.2),18.6 (2.1),18.2 (2),17.8 (2),17.2 (2),16.6 (2.1),15.9 (2.3),15.2 (2.7),14.3 (3.5),13.4 (4.5),,
NCT00472199,inter,sf36_pcs,sp,19.1 (2.3),18.8 (2.1),18.6 (2),18.3 (2),18 (2.1),17.8 (2.1),17.5 (2.3),17.3 (2.5),17 (2.7),16.7 (2.9),,
NCT00472199,inter,sf36_pcs,sq,18.4 (2.4),18.8 (2.1),18.9 (2.1),18.8 (2.1),18.4 (2.1),17.8 (2.2),17 (2.4),15.9 (2.8),14.5 (3.7),12.9 (4.8),,
NCT00783718,como,sf36_pcs,sp,11.9 (1.5),12 (1.4),12.1 (1.4),12.2 (1.4),12.3 (1.4),12.4 (1.4),12.5 (1.5),,,,,
NCT00783718,como,sf36_pcs,sq,11.8 (1.5),12 (1.4),12.1 (1.4),12.2 (1.4),12.2 (1.4),12.2 (1.6),12.1 (2),,,,,
NCT00783718,inter,sf36_pcs,sp,12.2 (1.5),12.3 (1.4),12.3 (1.4),12.4 (1.4),12.4 (1.4),12.5 (1.5),12.5 (1.5),,,,,
NCT00783718,inter,sf36_pcs,sq,12.1 (1.5),12.4 (1.4),12.5 (1.4),12.4 (1.4),12.1 (1.5),11.6 (1.7),10.9 (2.3),,,,,
NCT01007435,como,sf36_pcs,sp,31.9 (2),34.4 (1.8),33.7 (1.8),31.8 (1.9),31 (2.1),30.6 (2.5),29.6 (4.2),28.6 (7.2),,,,
NCT01007435,como,sf36_pcs,sq,32.4 (1.9),33.6 (1.8),34 (1.8),33.5 (1.8),32 (1.9),29.7 (2.5),26.4 (3.7),22.3 (5.4),,,,
NCT01007435,inter,sf36_pcs,sp,31.6 (2),34.5 (1.9),36 (1.9),35.4 (2),33 (2.4),30.3 (3),28.2 (4.5),26.7 (7.3),,,,
NCT01007435,inter,sf36_pcs,sq,31.5 (2),34.7 (1.9),36.2 (1.9),35.8 (1.9),33.7 (2.1),29.8 (3),24.1 (4.5),16.7 (6.8),,,,
NCT01119859,como,sf36_pcs,sp,24.1 (3),23.4 (2.8),22.7 (2.6),22.1 (2.5),21.4 (2.5),20.7 (2.5),20 (2.7),19.4 (3),,,,
NCT01119859,como,sf36_pcs,sq,24 (3.2),23.4 (2.8),22.8 (2.6),22.1 (2.5),21.4 (2.5),20.7 (2.6),19.9 (3.3),19 (4.6),,,,
NCT01119859,inter,sf36_pcs,sp,25.1 (3.2),24.7 (2.9),24.3 (2.7),24 (2.6),23.6 (2.7),23.2 (3),22.9 (3.3),22.5 (3.8),,,,
NCT01119859,inter,sf36_pcs,sq,25.2 (3.5),24.7 (2.9),24.3 (2.8),23.9 (2.7),23.6 (2.7),23.4 (3.2),23.2 (4.6),23.1 (6.9),,,,
NCT01209702,como,sf36_pcs,sp,,24.6 (4.4),24.2 (4),23.8 (3.9),23.4 (3.9),23 (4.1),,22.1 (4.9),,,,
NCT01209702,como,sf36_pcs,sq,,24.2 (4.5),24.2 (4.1),23.9 (3.9),23.4 (3.9),22.6 (4.2),,20.2 (7.3),,,,
NCT01209702,inter,sf36_pcs,sp,,24.7 (4.6),23.3 (4.1),22 (4),20.6 (4.3),19.3 (5),,16.6 (6.9),,,,
NCT01209702,inter,sf36_pcs,sq,,24.2 (4.7),22.7 (4.4),21.4 (4.3),20.3 (4.5),19.4 (7.6),,18.1 (22.6),,,,
NCT01224171,como,sf36_pcs,sp,16.8 (1.8),16.5 (1.7),16.3 (1.7),16.1 (1.6),15.9 (1.6),15.7 (1.6),15.5 (1.7),15.3 (1.9),,,,
NCT01224171,como,sf36_pcs,sq,17 (1.8),16.5 (1.7),16.1 (1.7),16 (1.6),16 (1.6),16.3 (1.7),16.7 (2.1),17.4 (2.7),,,,
NCT01224171,inter,sf36_pcs,sp,17.1 (1.8),16.8 (1.7),16.6 (1.7),16.3 (1.7),16 (1.7),15.7 (1.8),15.5 (1.9),15.2 (2),,,,
NCT01224171,inter,sf36_pcs,sq,17.3 (1.8),16.7 (1.7),16.3 (1.7),16.1 (1.7),16.2 (1.7),16.5 (1.9),17 (2.4),17.8 (3.2),,,,
NCT01232569,como,sf36_pcs,sp,26.7 (1.8),25.5 (1.6),24.3 (1.6),23.1 (1.5),22.2 (1.6),21.5 (1.7),20.9 (2),20.3 (2.5),,,,
NCT01232569,como,sf36_pcs,sq,27.3 (1.9),25.5 (1.6),24 (1.6),23 (1.5),22.3 (1.6),22.1 (1.8),22.3 (2.4),22.8 (3.4),,,,
NCT01232569,inter,sf36_pcs,sp,26.6 (1.8),25.7 (1.6),24.8 (1.6),23.9 (1.6),23 (1.6),22.1 (1.8),21.2 (1.9),20.3 (2.2),,,,
NCT01232569,inter,sf36_pcs,sq,27.4 (1.9),25.8 (1.6),24.5 (1.6),23.6 (1.6),23.1 (1.6),23.1 (1.9),23.4 (2.7),24.1 (3.9),,,,
NCT01646177,como,sf36_pcs,sp,,,31 (2.2),29.3 (2.1),27.5 (2),25.8 (2),24.1 (2),22.3 (2.1),,18.8 (2.6),,
NCT01646177,como,sf36_pcs,sq,,,30.8 (2.2),29.6 (2.1),28 (2.1),26.1 (2),23.7 (2.1),21 (2.5),,14.4 (4.8),,
NCT01646177,inter,sf36_pcs,sp,,,33.5 (2.2),31.6 (2.1),29.6 (2),27.5 (2),25.4 (2.1),23.2 (2.3),,18.7 (3.1),,
NCT01646177,inter,sf36_pcs,sq,,,33.3 (2.2),31.9 (2.1),30.1 (2),27.8 (2),25.1 (2.1),21.9 (2.6),,14.2 (5.1),,
